node1,node2,Layer
OMA02025,OMA00018,PPI
OMA02025,OMA00344,PPI
OMA02025,OMA02101,PPI
OMA03384,OMA02025,PPI
OMA03576,OMA02025,PPI
OMA04430,OMA02025,PPI
OMA00308,OMA02025,PPI
OMA01747,OMA02025,PPI
OMA02010,OMA02025,PPI
OMA02025,OMA00016,PPI
OMA02025,OMA00018,PPI
OMA02025,OMA00344,PPI
OMA02025,OMA00394,PPI
OMA02025,OMA01187,PPI
OMA02025,OMA02101,PPI
OMA02025,OMA03384,PPI
OMA02025,OMA03576,PPI
OMA04165,OMA02025,PPI
OMA04397,OMA02025,PPI
OMA04430,OMA02025,PPI
OMA05099,OMA02025,PPI
OMA02025,OMA01842,PPI
OMA02025,OMA02025,PPI
OMA01026,OMA01273,PPI
OMA01026,OMA01026,PPI
OMA01356,OMA01352,Metabolic
OMA01356,OMA01508,Metabolic
OMA00842,OMA01356,Regulatory
OMA00842,OMA01356,Regulatory
OMA03197,OMA01356,Regulatory
OMA01356,OMA01356,PPI
OMA02240,OMA01866,Metabolic
OMA02753,OMA01866,Metabolic
OMA04449,OMA01866,Regulatory
OMA04449,OMA00790,Regulatory
OMA00790,OMA03398,PPI
OMA03398,OMA00790,PPI
OMA04449,OMA01051,Regulatory
OMA01051,OMA01051,PPI
OMA04449,OMA02142,Regulatory
OMA03521,OMA02142,PPI
OMA02142,OMA02142,PPI
OMA02353,OMA00438,Metabolic
OMA02353,OMA01187,Metabolic
OMA02353,OMA02150,Metabolic
OMA02353,OMA03211,Metabolic
OMA02353,OMA03544,Metabolic
OMA02353,OMA02353,PPI
OMA02353,OMA02353,PPI
OMA02353,OMA02353,PPI
OMA00580,OMA00540,Metabolic
OMA00580,OMA01089,Metabolic
OMA02212,OMA00580,Metabolic
OMA02792,OMA00580,Metabolic
OMA03001,OMA02404,Regulatory
OMA03568,OMA02404,Regulatory
OMA02404,OMA04860,PPI
OMA04860,OMA02404,PPI
OMA03657,OMA00165,PPI
OMA00163,OMA01691,PPI
OMA01691,OMA00163,PPI
OMA03657,OMA00163,PPI
OMA01200,OMA00956,PPI
OMA02370,OMA03405,PPI
OMA03405,OMA03405,PPI
OMA02059,OMA02370,Metabolic
OMA02370,OMA02309,Metabolic
OMA01911,OMA02370,PPI
OMA01911,OMA02370,PPI
OMA02370,OMA00061,PPI
OMA02370,OMA02370,PPI
OMA02370,OMA03405,PPI
OMA00061,OMA02246,PPI
OMA00061,OMA00117,PPI
OMA00061,OMA01350,PPI
OMA00061,OMA02246,PPI
OMA03325,OMA00061,PPI
OMA00061,OMA00061,PPI
OMA02370,OMA00061,PPI
OMA00151,OMA00939,Metabolic
OMA00939,OMA00928,Metabolic
OMA05144,OMA00939,Metabolic
OMA03453,OMA00939,Regulatory
OMA00026,OMA00643,PPI
OMA00026,OMA03342,PPI
OMA00643,OMA00026,PPI
OMA03116,OMA00026,PPI
OMA03304,OMA00026,PPI
OMA00643,OMA00026,PPI
OMA00624,OMA03342,Metabolic
OMA00643,OMA00624,Metabolic
OMA03304,OMA00624,Metabolic
OMA00324,OMA00624,PPI
OMA00624,OMA00027,PPI
OMA00624,OMA00096,PPI
OMA00624,OMA00643,PPI
OMA00624,OMA03304,PPI
OMA00624,OMA03342,PPI
OMA00624,OMA00027,PPI
OMA00624,OMA00096,PPI
OMA00624,OMA00324,PPI
OMA00624,OMA00643,PPI
OMA03304,OMA00624,PPI
OMA03342,OMA00624,PPI
OMA00027,OMA00624,PPI
OMA00643,OMA00624,PPI
OMA00624,OMA03342,Metabolic
OMA00643,OMA03342,Metabolic
OMA03304,OMA03342,Metabolic
OMA00624,OMA03342,PPI
